Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,
superword,org.apdplat.superword.rule,SimilarWord,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.rule,IndependentWordRule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.rule,DependenceWordRule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.rule,CharTransformRule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.rule,WordVector.Score,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: word; score; explain
superword,org.apdplat.superword.rule,WordVector.Score,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.rule,RootAffixRule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.rule,DynamicPrefixRule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.rule,SimilarityRule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.rule,WordLengthStatistics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.rule,DefinitionSimilarRule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.rule,DefinitionSimilarRule.Result,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: word; definition; url; score
superword,org.apdplat.superword.rule,DefinitionSimilarRule.Result,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.rule,DynamicSuffixRule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.rule,CompoundWord,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,FootNSentence,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,OxfordSymbol,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
superword,org.apdplat.superword.tools,OxfordSymbol,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,PrefixSuffixOptimizer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,Definition,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; ICIBA_CSS_PATH; YOUDAO_CSS_PATH; COLLINS_CSS_PATH; CAMBRIDGE_CSS_PATH; MACMILLAN_CSS_PATH; HERITAGE_CSS_PATH; WIKTIONARY_CSS_PATH; WORDNET_CSS_PATH; RANDOMHOUSE_CSS_PATH; ACCEPT; ENCODING; LANGUAGE; CONNECTION; HOST; REFERER; USER_AGENT,
superword,org.apdplat.superword.tools,WordLinker,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SERVER_REDIRECT_VALUE; serverRedirect; jsDefinition; EM_PRE; EM_SUF; ICIBA; YOUDAO; COLLINS; WEBSTER; OXFORD; CAMBRIDGE; MACMILLAN; HERITAGE; WIKTIONARY; WORDNET; RANDOMHOUSE; des,
superword,org.apdplat.superword.tools,WordLinker,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods,
superword,org.apdplat.superword.tools,WordLinker.Dictionary,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: des
superword,org.apdplat.superword.tools,WordLinker.Dictionary,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,WordClassifierForWebster,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,PdfParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,PdfParser,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 32 methods,
superword,org.apdplat.superword.tools,WordClassifierForOxford,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,TopNSentence,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,Pronunciation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,Pronunciation,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGGER; ICIBA_CSS_PATH; YOUDAO_CSS_PATH; OXFORD_CSS_PATH; WEBSTER_CSS_PATH; COLLINS_CSS_PATH; CAMBRIDGE_CSS_PATH; MACMILLAN_CSS_PATH; HERITAGE_CSS_PATH; WIKTIONARY_CSS_PATH; WORDNET_CSS_PATH; RANDOMHOUSE_CSS_PATH; ACCEPT; ENCODING; LANGUAGE; CONNECTION; HOST; REFERER; USER_AGENT,
superword,org.apdplat.superword.tools,IcibaSymbol,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
superword,org.apdplat.superword.tools,IcibaSymbol,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,WebsterSymbol,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
superword,org.apdplat.superword.tools,WebsterSymbol,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,WordClassifier,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,ThreadPool,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: EXECUTOR_SERVICE
superword,org.apdplat.superword.tools,ThreadPool,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EXECUTOR_SERVICE,
superword,org.apdplat.superword.tools,OxfordPOS,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
superword,org.apdplat.superword.tools,OxfordPOS,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,JavaCodeAnalyzer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,YoudaoSymbol,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
superword,org.apdplat.superword.tools,YoudaoSymbol,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,TextAnalyzer,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: TextAnalyzer; HtmlFormatter; WordSources,
superword,org.apdplat.superword.tools,TextAnalyzer.Stat,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: count; words
superword,org.apdplat.superword.tools,TextAnalyzer.Stat,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,WebsterPOS,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
superword,org.apdplat.superword.tools,WebsterPOS,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,WordClassifierForYouDao,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,HtmlFormatter,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods,
superword,org.apdplat.superword.tools,SentenceScorer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,AidReading,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,MySQLUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 53 public methods,
superword,org.apdplat.superword.tools,Summary,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,WordsFetcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.tools,WordsFetcher,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods,
superword,org.apdplat.superword.system,WordsFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.system,InstantTipServlet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.system,AntiRobotFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.system,AntiRobotFilter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; scheduledExecutorService; SIMPLE_DATE_FORMAT; limit; invalidCount; servletContext,
superword,org.apdplat.superword.system,HistoryFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.system,ViewWordServlet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.system.qq,IndexServlet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.system.qq,AfterLoginRedirectServlet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.model,MyNewWord,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): HistoryRecord,
superword,org.apdplat.superword.model,UserDynamicPrefix,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): HistoryRecord,
superword,org.apdplat.superword.model,UserBook,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): HistoryRecord,
superword,org.apdplat.superword.model,ComplexPrefix,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.model,UserSimilarWord,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): HistoryRecord,
superword,org.apdplat.superword.model,Quiz,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.model,ComplexSuffix,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.model,UserWord,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): HistoryRecord,
superword,org.apdplat.superword.model,UserDynamicSuffix,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): HistoryRecord,
superword,org.apdplat.superword.model,UserText,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): HistoryRecord,
superword,org.apdplat.superword.model,UserUrl,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): HistoryRecord,
superword,org.apdplat.superword.extract,SynonymAntonymExtractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.extract,DefinitionExtractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.extract,PartOfSpeechExtractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.extract,SuffixExtractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.extract,RootAffixExtractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.extract,PhraseExtractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.extract,SynonymDiscriminationExtractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.extract,PrefixExtractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.extract,SentenceExtractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.extract,HyphenExtractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
superword,org.apdplat.superword.extract,ChineseSynonymAntonymExtractor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),